Age,Attrition,BusinessTravel,DailyRate,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Department_Research & Development,Department_Sales,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MonthlyIncome_log
41,Yes,Travel_Rarely,1102,1,2,Life Sciences,1,1,2,0,94,3,2,4,Single,5993.0,19479,8,Y,1,11,3,1,80,0,8,0,1,6,4,0,5,False,True,False,False,False,False,False,False,True,False,8.69851424787661
49,No,Travel_Frequently,279,8,1,Life Sciences,1,2,3,1,61,2,2,2,Married,5130.0,24907,1,Y,0,23,4,4,80,1,10,3,3,10,7,1,7,True,False,False,False,False,False,False,True,False,False,8.543055850941965
37,Yes,Travel_Rarely,1373,2,2,Other,1,4,4,1,92,2,1,3,Single,2090.0,2396,6,Y,1,15,3,2,80,0,7,3,3,0,0,0,0,True,False,False,True,False,False,False,False,False,False,7.645397699428633
33,No,Travel_Frequently,1392,3,4,Life Sciences,1,5,4,0,56,3,1,3,Married,2909.0,23159,1,Y,1,11,3,3,80,0,8,3,3,8,7,3,0,True,False,False,False,False,False,False,True,False,False,7.975908360165538
27,No,Travel_Rarely,591,2,1,Medical,1,7,1,1,40,3,1,2,Married,3468.0,16632,9,Y,0,12,3,4,80,1,6,3,3,2,2,2,2,True,False,False,True,False,False,False,False,False,False,8.15162164696975
32,No,Travel_Frequently,1005,2,2,Life Sciences,1,8,4,1,79,3,1,4,Single,3068.0,11864,0,Y,0,13,3,3,80,0,8,2,2,7,7,3,6,True,False,False,True,False,False,False,False,False,False,8.029107054619736
59,No,Travel_Rarely,1324,3,3,Medical,1,10,3,0,81,4,1,1,Married,2670.0,9964,4,Y,1,20,4,1,80,3,12,3,2,1,0,0,0,True,False,False,True,False,False,False,False,False,False,7.890208213109961
30,No,Travel_Rarely,1358,24,1,Life Sciences,1,11,4,1,67,3,1,3,Divorced,2693.0,13335,1,Y,0,22,4,2,80,1,1,2,3,1,0,0,0,True,False,False,True,False,False,False,False,False,False,7.898782356970309
38,No,Travel_Frequently,216,23,3,Life Sciences,1,12,4,1,44,2,3,3,Single,9526.0,8787,0,Y,0,21,4,2,80,0,10,2,3,9,7,1,8,True,False,False,False,False,True,False,False,False,False,9.161885151706779
36,No,Travel_Rarely,1299,27,3,Medical,1,13,3,1,94,3,2,3,Married,5237.0,16577,6,Y,0,13,3,2,80,2,17,3,2,7,7,7,7,True,False,False,False,False,False,False,False,False,False,8.563695025067657
